tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
390948893060,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bengaluru,KA,,2020-03-09 15:12:00,2020-03-10 13:33:00,22.35,3,5,10.799999999999999,7.45,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390948915036,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Indore,MP,,2020-03-09 15:12:00,2020-03-12 11:51:00,68.65,3,8,60.18333333333334,22.883333333333336,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12
390901942719,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2020-03-06 16:07:00,2020-03-11 18:00:00,121.88333333333334,3,12,110.31666666666666,40.62777777777778,True,RECEPTIONIST_OR_FRONT_DESK,0,False,17
391080316258,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-13 17:14:00,2020-03-16 15:09:00,69.91666666666667,2,9,50.483333333333334,34.958333333333336,True,SHIPPING_RECEIVING,0,False,13
280902855329,FEDEX_EXPRESS_SAVER,FDXE,2.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2021-06-29 19:07:00,2021-07-05 15:57:00,140.83333333333334,3,10,87.24999999999999,46.94444444444445,True,RESIDENCE,2,False,17
390932015238,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2020-03-07 16:27:00,2020-03-10 18:00:00,73.55,3,8,47.78333333333333,24.516666666666666,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12
390808005402,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,2020-03-03 16:19:00,2020-03-06 18:15:00,73.93333333333334,2,7,59.86666666666667,36.96666666666667,True,IN_BOND_OR_CAGE,0,False,10
390948897537,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,2020-03-09 15:12:00,2020-03-14 12:49:00,117.61666666666666,3,8,88.56666666666666,39.205555555555556,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12
391049835905,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Ahmedabad,GJ,,2020-03-12 16:17:00,2020-03-17 13:00:00,116.71666666666667,3,13,108.93333333333334,38.90555555555556,True,RECEPTIONIST_OR_FRONT_DESK,1,True,19
390871789380,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-05 19:20:00,2020-03-09 12:10:00,88.83333333333333,3,8,41.733333333333334,29.61111111111111,True,RESIDENCE,2,False,15
